Buffer.15km,UTMX,UTMY,PHt,Hs_obs,Hs_exp,IR,HL,PHt.HotCold,Hs_obs.HotCold,Hs_exp.HotCold,IR.HotCold,HL.HotCold,n
B15.00,483996.6269,7734295.356,0.153808067,0.649966581,0.587560963,0.419479352,0.794575396,-3.555924161,-3.534120485,-3.535634081,3.620289331,3.567103526,14
B15.1,707207.3988,7505336.899,0.197504024,0.829220868,0.74963112,0.241348258,0.733298115,-1.624152878,-1.66915382,-1.668954266,1.573230875,1.573559706,2
B15.10,591828.917,7605797.929,0.237871719,1.00510392,0.90852832,0.087465838,0.680049039,0.160477971,0.160738425,0.161180297,-0.195165115,-0.158801237,11
B15.11,820900.4827,7607897.118,0.243172626,1.027705214,0.928853149,0.067477413,0.67213198,0.394827813,0.395882923,0.395276134,-0.42486939,-0.416368214,4
B15.12,715201.3064,7651192.685,0.247365633,1.045725249,0.944989702,0.051235712,0.666204498,0.580198059,0.583363881,0.581132542,-0.611516821,-0.609207953,37
B15.13,860563.2126,7634983.58,0.253175041,1.070398245,0.967414083,0.034426672,0.661470259,0.837028408,0.840062427,0.839410446,-0.804684045,-0.763227725,1
B15.14,524903.7222,7640999.882,0.255608309,1.081002551,0.977105964,0.030795211,0.655100572,0.94460165,0.950389926,0.951038883,-0.846416296,-0.970453794,3
B15.15,671064.1715,7683067.085,0.244653695,1.033850503,0.934346199,0.064953429,0.671193983,0.460304954,0.459818686,0.458543583,-0.453874672,-0.446884222,20
B15.16,420198.3079,7661549.191,0.234359517,0.990296535,0.895152448,0.111417282,0.688013511,0.005205696,0.00668197,0.007120658,0.080081645,0.100308227,11
B15.17,599003.4568,7657301.039,0.236200616,0.997654447,0.902500727,0.10301714,0.682461607,0.086599564,0.083233897,0.091756136,-0.016451645,-0.080312752,1
B15.18,830319.1245,7715541.746,0.236811576,1.000708133,0.904445696,0.091680012,0.6809183,0.113609716,0.115004533,0.114157752,-0.146736398,-0.130521427,28
B15.19,491243.0518,7707618.09,0.229956916,0.971792285,0.878623368,0.116631837,0.689909967,-0.189430584,-0.18583677,-0.183256771,0.140006608,0.162005949,2
B15.2,1041751.047,7506157.575,0.251929438,1.064783902,0.962181456,0.034621415,0.661312241,0.781961037,0.781650645,0.779142467,-0.80244608,-0.768368549,1
B15.20,693478.8115,7738603.72,0.245767559,1.038807918,0.938851919,0.057234488,0.667860179,0.509548205,0.511395776,0.510439241,-0.542579702,-0.555343414,28
B15.3,660811.6276,7513431.248,0.21645015,0.914445692,0.826562347,0.175331661,0.70921141,-0.786556335,-0.782472342,-0.782881396,0.814577054,0.789942967,3
B15.4,730780.5458,7554753.359,0.24310413,1.02710221,0.928393276,0.067206937,0.670354236,0.391799615,0.389609256,0.389979437,-0.427977661,-0.474203856,3
B15.5,352352.1329,7567695.742,0.236333517,0.999270369,0.903391535,0.097533839,0.678224814,0.092475034,0.100045995,0.102016218,-0.079465006,-0.218149054,1
B15.6,439801.8998,7554462.998,0.243796925,1.029908449,0.930948245,0.074967683,0.672740286,0.422427662,0.418805449,0.419406879,-0.338792219,-0.396578107,13
B15.7,590515.9132,7555966.463,0.224551724,0.94871604,0.857545608,0.121048178,0.700164726,-0.428390768,-0.425922669,-0.426024652,0.190758601,0.4956257,1
B15.8,681966.3908,7562850.079,0.242676529,1.025182485,0.926228874,0.071181705,0.672999694,0.372895644,0.369636377,0.365050452,-0.382300171,-0.388138746,4
B15.9,412493.5925,7590793.811,0.243979375,1.031098418,0.931963477,0.074369288,0.675340435,0.430493697,0.431185921,0.43110004,-0.345668894,-0.311987026,31
